Time(s),RSS(KB),VSZ(KB)
.897074507,79616,285284
.914815992,79616,285284
.932366464,79616,285284
.948907330,79616,285284
.965236521,79616,285284
.981541906,79616,285284
.997879418,79616,285284
1.014838399,79616,285284
1.031602846,79616,285284
1.047434710,79616,285284
1.063513276,79616,285284
1.080712901,79616,285284
1.098070545,79616,285284
1.115696927,79616,285284
1.133383284,79616,285284
1.150939422,79616,285284
1.168544973,79616,285284
1.186122071,79616,285284
1.203685017,79616,285284
1.220910808,79616,285284
1.238864042,79616,285284
1.255590907,79616,285284
1.271786619,79616,285284
1.288106328,79616,285284
1.304376860,79616,285284
1.319292311,79616,285284
1.335497111,79616,285284
1.350230857,79616,285284
1.367795881,79616,285284
1.383336928,79616,285284
1.399328567,79616,285284
1.414895065,79616,285284
1.430907538,79616,285284
1.447241033,79616,285284
1.464825899,79616,285284
1.481272367,79616,285284
1.498143163,79616,285284
1.514851241,79616,285284
1.531709327,79616,285284
1.547922142,79616,285284
1.564468571,79616,285284
1.581030875,79616,285284
1.597721563,79616,285284
1.613941687,79616,285284
1.630492750,79616,285284
1.646966254,79616,285284
1.663555761,79616,285284
1.679544380,79616,285284
1.696063228,79616,285284
1.711994926,79616,285284
1.728245386,79616,285284
1.745681062,79616,285284
1.763512324,79616,285284
1.780993155,79616,285284
1.799008723,79616,285284
1.816358430,79616,285284
1.834014981,79616,285284
1.851717439,79616,285284
1.869568797,79616,285284
1.887308240,79616,285284
1.904902847,79616,285284
1.922618395,79616,285284
1.940170245,79616,285284
1.957843456,79616,285284
1.975438011,79616,285284
1.992907099,79616,285284
2.010723769,79616,285284
2.028260434,79616,285284
2.046115882,79616,285284
2.063971653,79616,285284
2.081935556,79616,285284
2.099419834,79616,285284
2.116881057,79616,285284
2.134006517,79616,285284
2.151459956,79616,285284
2.169109781,79616,285284
2.185590035,79616,285284
2.202453304,79616,285284
2.218729563,79616,285284
2.235643115,79616,285284
2.252066412,79616,285284
2.268244488,79616,285284
2.284627608,79616,285284
2.301137600,79616,285284
2.317810089,79616,285284
2.333468856,79616,285284
2.348946883,79616,285284
2.364655363,79616,285284
2.380030336,79616,285284
2.395799639,79616,285284
2.411864806,79616,285284
2.427925512,79616,285284
2.444299782,79616,285284
2.461952666,79616,285284
2.479770213,79616,285284
2.495670135,79616,285284
2.512003575,79616,285284
2.528395262,79616,285284
2.546046971,79616,285284
2.563857368,79616,285284
2.581689569,79616,285284
2.599258046,79616,285284
2.617524080,79616,285284
2.635154096,79616,285284
2.652591411,79616,285284
2.670246341,79616,285284
2.687914710,79616,285284
2.705687022,79616,285284
2.723536101,79616,285284
2.741215905,79616,285284
2.758809928,79616,285284
2.776726256,79616,285284
2.794385463,79616,285284
2.812281814,79616,285284
2.829944319,79616,285284
2.847876381,79616,285284
2.865581333,79616,285284
2.882240568,79616,285284
2.899935037,79616,285284
2.917524070,79616,285284
2.935242107,79616,285284
2.952915312,79616,285284
2.970642235,79616,285284
2.988211399,79616,285284
3.005766634,79616,285284
3.023268981,79616,285284
3.040935633,79616,285284
3.058570658,79616,285284
3.076551140,79616,285284
3.094308676,79616,285284
3.111996415,79616,285284
3.129784709,79616,285284
3.147713445,79616,285284
3.165295060,79616,285284
3.183442845,79616,285284
3.200944243,79616,285284
3.218850742,79616,285284
3.236299379,79616,285284
3.254047748,79616,285284
3.271611530,79616,285284
3.289497168,79616,285284
3.307032253,79616,285284
3.323667882,79616,285284
3.340736190,79616,285284
3.358455124,79616,285284
3.375589653,79616,285284
3.393408046,79616,285284
3.411157118,79616,285284
3.428906610,79616,285284
3.446713843,79616,285284
3.464210653,79616,285284
3.481917622,79616,285284
3.499531389,79616,285284
3.517328831,79616,285284
3.535081488,79616,285284
3.553063110,79616,285284
3.570747446,79616,285284
3.588643349,79616,285284
3.606566279,79616,285284
3.624228233,79616,285284
3.641939025,79616,285284
3.659633429,79616,285284
3.677225778,79616,285284
3.695027382,79616,285284
3.712691866,79616,285284
3.730345572,79616,285284
3.748092290,79616,285284
3.765878651,79616,285284
3.783619089,79616,285284
3.801212697,79616,285284
3.819268218,79616,285284
3.836973527,79616,285284
3.854684996,79616,285284
3.872351642,79616,285284
3.890463879,79616,285284
3.908037823,79616,285284
3.926089197,79616,285284
3.943739149,79616,285284
3.961446641,79616,285284
3.979093938,79616,285284
3.996679882,79616,285284
4.014390061,79616,285284
4.032155004,79616,285284
4.049787561,79616,285284
4.067659288,79616,285284
4.085404710,79616,285284
4.103038726,79616,285284
4.120403525,79616,285284
4.138139657,79616,285284
4.155895850,79616,285284
4.173652577,79616,285284
4.191223802,79616,285284
4.208736100,79616,285284
4.226674139,79616,285284
4.244340148,79616,285284
4.261818551,79616,285284
4.279466200,79616,285284
4.296900834,79616,285284
4.314499997,79616,285284
4.332212264,79616,285284
4.349846646,79616,285284
4.367536181,79616,285284
4.384975998,79616,285284
4.402646308,79616,285284
4.420314589,79616,285284
4.438445929,79616,285284
4.456084588,79616,285284
4.473797721,79616,285284
4.491207019,79616,285284
4.508959402,79616,285284
4.526636735,79616,285284
4.544229138,79616,285284
4.561830318,79616,285284
4.579398034,79616,285284
4.597004706,79616,285284
4.614602223,79616,285284
4.632248125,79616,285284
4.649745085,79616,285284
4.667225810,79616,285284
4.684654980,79616,285284
4.701506771,79616,285284
4.719098600,79616,285284
4.736823171,79616,285284
4.754450436,79616,285284
4.772180091,79616,285284
4.789797630,79616,285284
4.807764671,79616,285284
4.825486294,79616,285284
4.843138767,79616,285284
4.860654757,79616,285284
4.878340447,79616,285284
